"","name","version","date","size"
"1","stringr","0.1.10",2009-11-09,6.8
"2","stringr","0.1.10",2009-11-16,10
"3","stringr","0.1.10",2010-02-15,11
"4","stringr","0.1.10",2010-08-24,16
"5","stringr","0.1.10",2011-06-30,18
"6","stringr","0.1.10",2012-07-25,20
"7","stringr","0.1.10",2012-12-06,20
"8","stringr","0.1.10",2011-12-08,20
"9","stringr","0.1.10",2015-04-30,34
"10","stringr","0.1.10",2016-08-19,62
"11","stringr","0.1.10",2017-02-18,92
